grid_id,score,intersection_density,avg_block_length,sidewalk_pct,amenity_pct,n_int,n_block,n_sidewalk,n_amenity
0,53.535811851386526,50.75,71.45719506715713,0.0,0,63.4375,93.8693728379551,0.0,0.0
1,65.25,70.5,49.77382673602383,0.0,0,88.125,100.0,0.0,0.0
2,30.904996026474947,2.5,54.02504635779228,0.0,0,3.125,98.8499867549165,0.0,0.0
3,47.46147758695802,31.0,49.673476105255865,2.6153034492773615,0,38.75,100.0,13.076517246386807,0.0
4,40.02761217358396,21.0,55.51119130818708,0.0,0,26.25,98.42537391194655,0.0,0.0
5,69.16646211389602,167.25,59.72460867121307,0.0,0,100.0,97.2215403796534,0.0,0.0
6,70.35131950195765,211.75,49.88891582063581,0.4684260026101889,0,100.0,100.0,2.342130013050945,0.0
7,70.01275616398104,147.5,49.65610988104407,0.017008218641386557,0,100.0,100.0,0.08504109320693279,0.0
8,69.90919507794594,117.5,55.820416597928876,0.5441172389293065,0,100.0,98.33702382916319,2.7205861946465326,0.0
9,68.39664428796121,77.25,52.66414997378592,0.0,0,96.5625,99.23881429320403,0.0,0.0
10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
11,71.91859886302831,146.0,44.13680768571305,2.558131817371074,0,100.0,100.0,12.790659086855369,0.0
12,77.53232187967173,287.5,49.41163509747369,10.043095839562305,0,100.0,100.0,50.21547919781153,0.0
13,78.36046562870317,239.25,55.667180408552454,11.794965265914986,0,100.0,98.38080559755645,58.974826329574924,0.0
14,74.17748233086036,194.5,58.691124624134424,6.563247826762499,0,100.0,97.5168215359616,32.816239133812495,0.0
15,71.9933394077488,208.75,55.78499415648063,3.31892806631049,0,100.0,98.34714452671982,16.59464033155245,0.0
16,71.86631636828407,150.0,64.30971544184193,4.1238178748749865,0,100.0,95.91150987375944,20.619089374374933,0.0
17,61.34930969946397,62.0,72.76183092278018,3.0670983714125537,0,77.5,93.49661973634852,15.335491857062769,0.0
18,32.07283411738169,6.25,62.275268630546975,0.0,0,7.8125,96.49278039127229,0.0,0.0
19,69.84176468350485,97.25,51.84607869244345,0.0,0,100.0,99.47254894501616,0.0,0.0
20,77.66515054643577,263.5,50.237989838039574,10.247399567214106,0,100.0,99.93200290341726,51.23699783607053,0.0
21,82.00515815158936,241.0,52.38995700839133,16.280015479268624,0,100.0,99.31715514045962,81.40007739634312,0.0
22,84.89477808242887,255.5,51.22758903832971,34.081961111421215,0,100.0,99.64926027476294,100.0,0.0
23,85.0,302.5,47.29078297165469,28.12832277766128,0,100.0,100.0,100.0,0.0
24,70.13922680800879,152.25,60.298254090296595,1.3625790686170438,0,100.0,97.05764168848668,6.812895343085219,0.0
25,44.29819980217059,33.5,87.20146905449401,0.9825295329315458,0,41.875,89.37100884157314,4.912647664657729,0.0
26,28.46489841140039,1.25,75.20118520032878,0.0,0,1.5625,92.79966137133464,0.0,0.0
27,69.08796682227643,108.75,68.08361096079342,0.8506541585544914,0,100.0,94.83325401120189,4.253270792772457,0.0
28,77.16424913176877,217.0,48.73968548695041,9.552332175691692,0,100.0,100.0,47.761660878458464,0.0
29,78.30095809928146,190.5,55.62636365012842,11.71095712096138,0,100.0,98.39246752853474,58.5547856048069,0.0
30,83.75530155579486,273.75,46.596612533562855,18.340402074393143,0,100.0,100.0,91.70201037196571,0.0
31,72.50540871468581,245.5,50.621145292701875,3.4115329863660704,0,100.0,99.8225299163709,17.057664931830352,0.0
32,69.75625406531887,87.25,62.508070658982426,1.1044992100231568,0,100.0,96.42626552600501,5.522496050115784,0.0
33,30.77072343032116,8.75,92.04989331291978,0.0,0,10.9375,87.9857447677372,0.0,0.0
34,69.64256021954309,139.5,55.94590761194628,0.2029459245655992,0,100.0,98.30116925372964,1.014729622827996,0.0
35,72.14356338791818,208.75,53.138041281535756,3.2167178065426163,0,100.0,99.10341677670407,16.083589032713082,0.0
36,71.50666171513748,218.25,58.52953300458502,2.983686058802551,0,100.0,97.56299057011857,14.918430294012754,0.0
37,73.16195258097336,286.25,50.73395038884636,4.299816819070753,0,100.0,99.79029988890103,21.499084095353766,0.0
38,70.11600852941945,97.5,51.05768479723171,0.2755563017666956,0,100.0,99.69780434364809,1.377781508833478,0.0
39,69.85836743466105,206.0,54.34853479768405,0.30813198499768313,0,100.0,98.75756148637599,1.5406599249884156,0.0
40,70.1991887149412,319.75,51.128521351335046,0.3945588219789412,0,100.0,99.67756532818998,1.9727941098947062,0.0
41,70.02505801027385,281.0,53.170403376350215,0.39574249480517815,0,100.0,99.09417046389993,1.9787124740258906,0.0
42,70.19079889329875,220.25,52.3012598034507,0.5173996447926897,0,100.0,99.34249719901409,2.5869982239634486,0.0
43,64.78549374437272,68.5,55.976354092068114,1.3970035553999791,0,85.625,98.29247025940911,6.985017776999896,0.0
44,69.8264825713265,152.0,56.803720934902024,0.5462115352812866,0,100.0,98.05607973288514,2.7310576764064334,0.0
45,69.40414226492166,206.75,57.606382502344694,0.07482387730638429,0,100.0,97.82674785647293,0.37411938653192145,0.0
46,69.45380707258876,214.5,57.07251678757734,0.0800303963176584,0,100.0,97.97928091783504,0.40015198158829207,0.0
47,69.59195185909007,133.0,57.84621322354769,0.3526458948112637,0,100.0,97.75822479327209,1.7632294740563184,0.0
48,45.55733440635601,32.5,58.081098592513165,0.0,0,40.625,97.69111468785339,0.0,0.0
49,84.85458256301074,186.25,51.696536764874686,21.15582174561669,0,100.0,99.51527521003581,100.0,0.0
50,74.76426859630081,143.75,56.2078227288157,7.061823583122882,0,100.0,98.22633636319551,35.30911791561441,0.0
51,70.14674172356655,139.5,48.94218979339253,0.19565563142206066,0,100.0,100.0,0.9782781571103034,0.0
52,70.85710521881286,147.0,49.53776697553763,1.1428069584171412,0,100.0,100.0,5.714034792085706,0.0
53,32.976658609446446,6.25,51.730649556458076,0.0,0,7.8125,99.50552869815483,0.0,0.0
54,61.53008177227326,65.0,62.22628172572811,0.10406503644756779,0,81.25,96.50677664979197,0.520325182237839,0.0
55,69.41515975951936,128.25,56.823136138940804,0.0,0,100.0,98.05053253173119,0.0,0.0
56,72.18102975004096,160.25,52.20871389918964,3.1604641123429658,0,100.0,99.36893888594581,15.802320561714827,0.0
57,69.83142596076193,150.25,53.92246999665279,0.2235168996809881,0,100.0,98.87929428667063,1.1175844984049406,0.0
58,35.38349805531272,11.5,54.27585602135156,0.0,0,14.374999999999998,98.77832685104241,0.0,0.0
59,29.22912565695129,3.0,76.49353400223495,0.0,0,3.75,92.4304188565043,0.0,0.0
60,42.612181562635655,29.25,73.48288176925065,0.0,0,36.5625,93.29060520878552,0.0,0.0
61,28.827411460003802,0.75,68.05519963328898,0.0,0,0.9375,94.841371533346,0.0,0.0
